Feature,Importance
marital.status_Married-civ-spouse,0.3920667
capital.gain,0.059616465
education.num,0.054129012
occupation_Other-service,0.034612004
relationship_Own-child,0.026720615
capital.loss,0.020837555
AgeGroup_Middle,0.017293615
occupation_Exec-managerial,0.016867196
occupation_Farming-fishing,0.016202636
occupation_Handlers-cleaners,0.01617158
occupation_Tech-support,0.015535803
occupation_Prof-specialty,0.013072704
relationship_Wife,0.011883922
relationship_Other-relative,0.010767848
age,0.010601719
sex_Male,0.009873166
occupation_Machine-op-inspct,0.009669019
marital.status_Married-AF-spouse,0.009225444
hours.per.week,0.009195667
HoursCategory_Overtime,0.008967083
workclass_Self-emp-not-inc,0.0087144
workclass_Local-gov,0.008527345
education_Prof-school,0.00784694
occupation_Protective-serv,0.0073938766
native.country_Philippines,0.007043214
native.country_Mexico,0.0069593485
race_White,0.0064077945
relationship_Not-in-family,0.0060650073
marital.status_Widowed,0.005894682
workclass_State-gov,0.005488556
marital.status_Never-married,0.005426003
native.country_Japan,0.0054086056
race_Asian-Pac-Islander,0.0053871963
workclass_Self-emp-inc,0.0053832447
native.country_Yugoslavia,0.00527375
occupation_Sales,0.005237678
relationship_Unmarried,0.0052140546
education_Assoc-acdm,0.0050154706
race_Other,0.0047433292
fnlwgt,0.004628733
occupation_Transport-moving,0.0046260427
HoursCategory_Standard,0.0044491775
education_11th,0.0044238484
occupation_Craft-repair,0.0043517565
native.country_Germany,0.0043211835
workclass_Private,0.004313477
native.country_United-States,0.004248763
education_Some-college,0.004074234
education_Bachelors,0.0039548497
education_Assoc-voc,0.0039053885
native.country_Vietnam,0.0038375333
race_Black,0.0037221143
native.country_Columbia,0.003594516
native.country_Cuba,0.0035745963
education_HS-grad,0.0035302266
education_7th-8th,0.0034152386
occupation_Priv-house-serv,0.0031728812
AgeGroup_Adult,0.0031633116
education_1st-4th,0.003038851
education_Masters,0.0030179599
marital.status_Separated,0.002999597
native.country_Puerto-Rico,0.0029389495
native.country_Canada,0.002686756
native.country_Jamaica,0.002632256
native.country_Trinadad&Tobago,0.0025557936
native.country_Peru,0.0025447386
marital.status_Married-spouse-absent,0.0023852147
native.country_India,0.0023762018
education_12th,0.002214661
native.country_South,0.0022132073
native.country_Greece,0.0021920602
education_5th-6th,0.002184311
native.country_Dominican-Republic,0.002069891
native.country_Italy,0.0016945739
native.country_Nicaragua,0.0012555764
native.country_Haiti,0.0011674049
native.country_Ecuador,0.001167055
native.country_England,0.0006168384
native.country_Thailand,0.0
native.country_Taiwan,0.0
native.country_Scotland,0.0
native.country_Portugal,0.0
native.country_Poland,0.0
AgeGroup_Senior,0.0
native.country_China,0.0
native.country_Outlying-US(Guam-USVI-etc),0.0
native.country_El-Salvador,0.0
education_9th,0.0
education_Doctorate,0.0
education_Preschool,0.0
occupation_Armed-Forces,0.0
workclass_Without-pay,0.0
HasCapitalLoss,0.0
HasCapitalGain,0.0
native.country_France,0.0
native.country_Laos,0.0
native.country_Guatemala,0.0
native.country_Holand-Netherlands,0.0
native.country_Honduras,0.0
native.country_Hong,0.0
native.country_Hungary,0.0
native.country_Iran,0.0
native.country_Ireland,0.0
HoursCategory_Extreme,0.0
